"Gene","Expression"
"ASCL4",1.34
"ASF1A",557.9006
"ASF1B",7.1468
"ASFMR1",1.7867
"ASGR1",123.7298
"ASGR2",4.4668
"ASH1L",3467.4618
"ASH2L",1200.67
"ASIP",0
"ASL",364.4891
"ASMTL",894.2133
"ASMT",0
"ASNA1",1590.6198
"ASNSD1",1083.6404
"ASNS",1818.8721
"ASPA",225.1256
"ASPDH",244.7795
"ASPG",1.34
"ASPHD1",1187.7164
"ASPHD2",653.043
"ASPH",2578.7069
"ASPM",6.7002
"ASPN",4.9135
"ASPRV1",97.1435
"ASPSCR1",456.0581
"ASRGL1",1622.7806
"ASS1",865.215
"ASTE1",123.703
"ASTL",1.7867
"ASTN1",5778.2245
"ASTN2",1428.9224
"ASXL1",1248.0179
"ASXL2",310.8878
"ASXL3",137.5768
"ASZ1",0
"ATAD1",1277.4986
"ATAD2B",112.1161
"ATAD2",269.7934
"ATAD3A",372.5293
"ATAD3B",270.6868
"ATAD3C",48.6879
"ATAD5",28.1407
"ATCAY",7008.3752
"ATE1",300.6142
"ATF1",113.0095
"ATF2",721.8314
"ATF3",239.866
"ATF4",3409.4919
"ATF5",305.081
"ATF6B",1420.8822
"ATF6",861.6415
"ATF7IP2",87.5489
"ATF7IP",547.627
"ATF7",722.5952
"ATG10",64.7683
"ATG12",607.4819
"ATG16L1",808.4869
"ATG16L2",372.4132
"ATG2A",933.5567
"ATG2B",1549.0787
"ATG3",722.2781
"ATG4A",93.3557
"ATG4B",1584.3663
"ATG4C",272.9202
"ATG4D",374.3562
"ATG5",711.5578
"ATG7",947.0374
"ATG9A",2881.5812
"ATG9B",93.1591
"ATHL1",269.7934
"ATIC",1117.5879
"ATL1",3095.0307
