"Gene","Expression"
"ARSG",79.018
"ARSH",0
"ARSI",49.0986
"ARSJ",60.2225
"ARSK",138.4733
"ART1",0.7672
"ART3",154.5838
"ART4",0
"ART5",2.6851
"ARTN",3.4522
"ARV1",452.6275
"ARVCF",1035.6732
"ARX",22.6314
"AR",4.2194
"AS3MT",280.3989
"ASAH1",4016.8776
"ASAH2B",3.8358
"ASAH2",3.8358
"ASAM",6.9045
"ASAP1IT1",0
"ASAP1",1079.7852
"ASAP2",680.4756
"ASAP3",429.9962
"ASB10",0
"ASB11",0
"ASB12",1.0203
"ASB13",975.4507
"ASB14",20.3299
"ASB15",0
"ASB16",18.458
"ASB17",0
"ASB18",0
"ASB1",1318.4542
"ASB2",0.7672
"ASB3",928.1626
"ASB4",15.3433
"ASB5",3.8358
"ASB6",762.359
"ASB7",373.9931
"ASB8",921.3656
"ASB9",3.4522
"ASCC1",1040.2762
"ASCC2",919.8312
"ASCC3",1006.9045
"ASCL1",1560.0307
"ASCL2",5.7537
"ASCL3",0
"ASCL4",1.5343
"ASF1A",1151.8987
"ASF1B",30.6866
"ASFMR1",0.3836
"ASGR1",130.8017
"ASGR2",2.6851
"ASH1L",2003.8512
"ASH2L",980.8209
"ASIP",2.6851
"ASL",275.4124
"ASMTL",824.2501
"ASMT",1.1507
"ASNA1",1501.7261
"ASNSD1",1318.3736
"ASNS",670.1189
"ASPA",444.9559
"ASPDH",54.8523
"ASPG",0.7672
"ASPHD1",782.8922
"ASPHD2",153.4331
"ASPH",2115.7729
"ASPM",22.2478
"ASPN",9.9731
"ASPRV1",226.4595
"ASPSCR1",540.0844
"ASRGL1",1199.8466
"ASS1",57.1538
"ASTE1",198.7265
"ASTL",0.7672
"ASTN1",3599.5397
"ASTN2",2332.5662
"ASXL1",1701.1891
"ASXL2",225.9302
"ASXL3",115.842
"ASZ1",0
"ATAD1",1418.4887
"ATAD2B",395.8573
"ATAD2",344.8408
"ATAD3A",441.8872
"ATAD3B",299.9616
"ATAD3C",27.2344
"ATAD5",86.6897
"ATCAY",7051.0165
"ATE1",228.6153
"ATF1",261.2198
"ATF2",416.5708
"ATF3",342.9229
"ATF4",5194.4764
"ATF5",201.3809
"ATF6B",1767.9325
"ATF6",947.0656
"ATF7IP2",15.3433
"ATF7IP",689.6816
"ATF7",1188.5769
"ATG10",57.1538
"ATG12",723.8205
"ATG16L1",447.2574
"ATG16L2",592.3514
"ATG2A",1015.7269
"ATG2B",1016.8776
"ATG3",1185.2704
"ATG4A",142.6928
"ATG4B",1410.4334
"ATG4C",360.5677
"ATG4D",394.3537
"ATG5",568.4695
"ATG7",650.6099
"ATG9A",2469.6586
"ATG9B",10.9973
"ATHL1",311.8527
"ATIC",1247.7944
"ATL1",832.3744
"ATL2",375.911
"ATL3",78.2509
"ATMIN",1799.7699
"ATM",1925.9685
